left,top,right,bottom,newID,OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,Shape_Leng,Shape_Area
-124.201341237409807,42.055423716625810,-124.101341237409812,41.955423716625809,"2",38911,"2011",2011/08/14 00:00:00.000,2011/08/16 00:00:00.000,1332.970586568589852,83589.987479924689978
-124.101341237409798,42.055423716625810,-124.001341237409804,41.955423716625809,"3",32139,"2002",2002/07/13 00:00:00.000,2002/11/08 00:00:00.000,403257.735458065697458,2027806990.791217327117920
-124.001341237409804,42.055423716625810,-123.901341237409810,41.955423716625809,"4",32139,"2002",2002/07/13 00:00:00.000,2002/11/08 00:00:00.000,403257.735458065697458,2027806990.791217327117920
-123.901341237409810,42.055423716625810,-123.801341237409801,41.955423716625809,"5",32139,"2002",2002/07/13 00:00:00.000,2002/11/08 00:00:00.000,403257.735458065697458,2027806990.791217327117920
-123.801341237409801,42.055423716625810,-123.701341237409807,41.955423716625809,"6",32139,"2002",2002/07/13 00:00:00.000,2002/11/08 00:00:00.000,403257.735458065697458,2027806990.791217327117920
-123.801341237409801,42.055423716625810,-123.701341237409807,41.955423716625809,"6",21707,"2020",2020/09/08 00:00:00.000,2020/12/12 00:00:00.000,431144.526138110144529,637096051.095130920410156
-123.701341237409807,42.055423716625810,-123.601341237409812,41.955423716625809,"7",21707,"2020",2020/09/08 00:00:00.000,2020/12/12 00:00:00.000,431144.526138110144529,637096051.095130920410156
-123.601341237409798,42.055423716625810,-123.501341237409804,41.955423716625809,"8",38284,"2008",2008/10/29 00:00:00.000,2008/10/31 00:00:00.000,1223.899222345468843,90117.952020823635394
-123.601341237409798,42.055423716625810,-123.501341237409804,41.955423716625809,"8",42405,"2018",2018/10/19 00:00:00.000,2018/12/18 00:00:00.000,171770.492163957154844,154257479.006424099206924
-123.601341237409798,42.055423716625810,-123.501341237409804,41.955423716625809,"8",42411,"2018",2018/07/22 00:00:00.000,2018/12/18 00:00:00.000,507.222330194642780,19578.254395941487019
-123.601341237409798,42.055423716625810,-123.501341237409804,41.955423716625809,"8",21707,"2020",2020/09/08 00:00:00.000,2020/12/12 00:00:00.000,431144.526138110144529,637096051.095130920410156
-123.501341237409804,42.055423716625810,-123.401341237409810,41.955423716625809,"9",38284,"2008",2008/10/29 00:00:00.000,2008/10/31 00:00:00.000,1223.899222345468843,90117.952020823635394
-123.501341237409804,42.055423716625810,-123.401341237409810,41.955423716625809,"9",21707,"2020",2020/09/08 00:00:00.000,2020/12/12 00:00:00.000,431144.526138110144529,637096051.095130920410156
-123.401341237409810,42.055423716625810,-123.301341237409801,41.955423716625809,"10",41876,"2017",2017/08/08 00:00:00.000,2017/10/10 00:00:00.000,80966.574405077888514,36945277.556228317320347
-123.401341237409810,42.055423716625810,-123.301341237409801,41.955423716625809,"10",42034,"2017",2017/08/11 00:00:00.000,2017/11/28 00:00:00.000,10602.553920912114336,1993480.135988058056682
-123.401341237409810,42.055423716625810,-123.301341237409801,41.955423716625809,"10",21707,"2020",2020/09/08 00:00:00.000,2020/12/12 00:00:00.000,431144.526138110144529,637096051.095130920410156
-123.301341237409801,42.055423716625810,-123.201341237409807,41.955423716625809,"11",39212,"2012",2012/08/05 00:00:00.000,2012/10/01 00:00:00.000,124425.159486167554860,90111126.951848909258842
-123.301341237409801,42.055423716625810,-123.201341237409807,41.955423716625809,"11",42033,"2017",2017/08/10 00:00:00.000,2018/01/10 00:00:00.000,129429.671811463325866,133114307.076367184519768
-123.301341237409801,42.055423716625810,-123.201341237409807,41.955423716625809,"11",42034,"2017",2017/08/11 00:00:00.000,2017/11/28 00:00:00.000,10602.553920912114336,1993480.135988058056682
-123.301341237409801,42.055423716625810,-123.201341237409807,41.955423716625809,"11",21695,"2020",2020/09/09 00:00:00.000,,80944.466479861002881,35903459.935416869819164
-123.201341237409807,42.055423716625810,-123.101341237409812,41.955423716625809,"12",39213,"2012",2012/08/05 00:00:00.000,2012/10/01 00:00:00.000,4036.723562351010514,928378.698163187364116
-123.201341237409807,42.055423716625810,-123.101341237409812,41.955423716625809,"12",42033,"2017",2017/08/10 00:00:00.000,2018/01/10 00:00:00.000,129429.671811463325866,133114307.076367184519768
-123.201341237409807,42.055423716625810,-123.101341237409812,41.955423716625809,"12",21695,"2020",2020/09/09 00:00:00.000,,80944.466479861002881,35903459.935416869819164
-123.101341237409798,42.055423716625810,-123.001341237409804,41.955423716625809,"13",42033,"2017",2017/08/10 00:00:00.000,2018/01/10 00:00:00.000,129429.671811463325866,133114307.076367184519768
-122.901341237409810,42.055423716625810,-122.801341237409801,41.955423716625809,"15",21742,"2020",2020/07/28 00:00:00.000,,2869.485163177638242,214845.374707771552494
-122.701341237409807,42.055423716625810,-122.601341237409812,41.955423716625809,"17",32476,"2001",2001/06/14 00:00:00.000,,7655.823427038066257,1139434.113033651607111
-122.701341237409807,42.055423716625810,-122.601341237409812,41.955423716625809,"17",36632,"2004",2004/09/06 00:00:00.000,2004/09/06 00:00:00.000,1094.312797201315561,49319.409327243280131
-122.701341237409807,42.055423716625810,-122.601341237409812,41.955423716625809,"17",41183,"2016",2016/07/19 00:00:00.000,2016/07/20 00:00:00.000,2674.877064325261472,111666.734740616811905
-122.701341237409807,42.055423716625810,-122.601341237409812,41.955423716625809,"17",41495,"2017",2017/05/21 00:00:00.000,2017/05/21 00:00:00.000,197.069219368021578,2155.159515254359121
-122.601341237409798,42.055423716625810,-122.501341237409804,41.955423716625809,"18",41183,"2016",2016/07/19 00:00:00.000,2016/07/20 00:00:00.000,2674.877064325261472,111666.734740616811905
