left,top,right,bottom,newID,OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,Shape_Leng,Shape_Area
-124.2013412374098,42.05542371662581,-124.1013412374098,41.95542371662581,2,38911,2011,2011/08/14 00:00:00.000,2011/08/16 00:00:00.000,1332.9705865685899,83589.98747992469
-124.1013412374098,42.05542371662581,-124.0013412374098,41.95542371662581,3,32139,2002,2002/07/13 00:00:00.000,2002/11/08 00:00:00.000,403257.7354580657,2027806990.791217
-123.8013412374098,42.05542371662581,-123.7013412374098,41.95542371662581,6,21707,2020,2020/09/08 00:00:00.000,2020/12/12 00:00:00.000,431144.5261381101,637096051.0951309
-123.6013412374098,42.05542371662581,-123.5013412374098,41.95542371662581,8,38284,2008,2008/10/29 00:00:00.000,2008/10/31 00:00:00.000,1223.8992223454688,90117.95202082365
-123.6013412374098,42.05542371662581,-123.5013412374098,41.95542371662581,8,42405,2018,2018/10/19 00:00:00.000,2018/12/18 00:00:00.000,171770.49216395715,154257479.00642407
-123.6013412374098,42.05542371662581,-123.5013412374098,41.95542371662581,8,42411,2018,2018/07/22 00:00:00.000,2018/12/18 00:00:00.000,507.2223301946428,19578.254395941487
-123.4013412374098,42.05542371662581,-123.3013412374098,41.95542371662581,10,41876,2017,2017/08/08 00:00:00.000,2017/10/10 00:00:00.000,80966.57440507789,36945277.55622832
-123.4013412374098,42.05542371662581,-123.3013412374098,41.95542371662581,10,42034,2017,2017/08/11 00:00:00.000,2017/11/28 00:00:00.000,10602.553920912114,1993480.135988058
-123.3013412374098,42.05542371662581,-123.2013412374098,41.95542371662581,11,39212,2012,2012/08/05 00:00:00.000,2012/10/01 00:00:00.000,124425.15948616755,90111126.95184891
-123.3013412374098,42.05542371662581,-123.2013412374098,41.95542371662581,11,42033,2017,2017/08/10 00:00:00.000,2018/01/10 00:00:00.000,129429.67181146333,133114307.07636718
-123.3013412374098,42.05542371662581,-123.2013412374098,41.95542371662581,11,21695,2020,2020/09/09 00:00:00.000,,80944.46647986099,35903459.93541687
-123.2013412374098,42.05542371662581,-123.1013412374098,41.95542371662581,12,39213,2012,2012/08/05 00:00:00.000,2012/10/01 00:00:00.000,4036.7235623510105,928378.6981631872
-122.9013412374098,42.05542371662581,-122.8013412374098,41.95542371662581,15,21742,2020,2020/07/28 00:00:00.000,,2869.4851631776382,214845.37470777155
-122.7013412374098,42.05542371662581,-122.6013412374098,41.95542371662581,17,32476,2001,2001/06/14 00:00:00.000,,7655.823427038065,1139434.1130336516
-122.7013412374098,42.05542371662581,-122.6013412374098,41.95542371662581,17,36632,2004,2004/09/06 00:00:00.000,2004/09/06 00:00:00.000,1094.3127972013156,49319.40932724328
-122.7013412374098,42.05542371662581,-122.6013412374098,41.95542371662581,17,41183,2016,2016/07/19 00:00:00.000,2016/07/20 00:00:00.000,2674.877064325261,111666.7347406168
-122.7013412374098,42.05542371662581,-122.6013412374098,41.95542371662581,17,41495,2017,2017/05/21 00:00:00.000,2017/05/21 00:00:00.000,197.0692193680216,2155.159515254359
-122.5013412374098,42.05542371662581,-122.4013412374098,41.95542371662581,19,36627,2004,2004/07/24 00:00:00.000,2004/07/28 00:00:00.000,17348.735085564407,9072960.177271139
-122.5013412374098,42.05542371662581,-122.4013412374098,41.95542371662581,19,39053,2011,2011/08/24 00:00:00.000,2011/08/24 00:00:00.000,507.2866396828246,13851.20294275664
-122.5013412374098,42.05542371662581,-122.4013412374098,41.95542371662581,19,42593,2019,2019/06/12 00:00:00.000,2019/06/12 00:00:00.000,642.9005409669127,20089.132838925303
-122.4013412374098,42.05542371662581,-122.3013412374098,41.95542371662581,20,22169,2007,2007/06/13 00:00:00.000,2007/06/13 00:00:00.000,1095.437333873351,58177.55331195187
-122.4013412374098,42.05542371662581,-122.3013412374098,41.95542371662581,20,39729,2014,2014/07/30 00:00:00.000,2014/08/13 00:00:00.000,68063.03589629447,142090171.5316559
-122.4013412374098,42.05542371662581,-122.3013412374098,41.95542371662581,20,42587,2019,2019/09/05 00:00:00.000,2019/09/05 00:00:00.000,1170.6394539841403,64431.214375177406
-122.4013412374098,42.05542371662581,-122.3013412374098,41.95542371662581,20,21493,2020,2020/07/27 00:00:00.000,2020/07/27 00:00:00.000,1184.2125207561396,59234.15533222404
-122.3013412374098,42.05542371662581,-122.2013412374098,41.95542371662581,21,36199,2000,2000/08/11 00:00:00.000,,2771.536727675107,562830.4480673061
-122.3013412374098,42.05542371662581,-122.2013412374098,41.95542371662581,21,32478,2001,2001/08/28 00:00:00.000,,601.4795559811661,18792.557167264687
-122.3013412374098,42.05542371662581,-122.2013412374098,41.95542371662581,21,39050,2011,2011/08/01 00:00:00.000,2011/08/01 00:00:00.000,1035.2889903465248,49885.68574539664
-122.3013412374098,42.05542371662581,-122.2013412374098,41.95542371662581,21,40793,2015,2015/07/31 00:00:00.000,2015/08/01 00:00:00.000,1216.600964469263,56659.23301670296
-122.2013412374098,42.05542371662581,-122.1013412374098,41.95542371662581,22,32479,2001,2001/10/05 00:00:00.000,,2266.557896313369,236938.0233708339
-122.1013412374098,42.05542371662581,-122.0013412374098,41.95542371662581,23,39385,2012,2012/09/18 00:00:00.000,2012/09/18 00:00:00.000,64.56108481049363,197.24671073709084
-122.1013412374098,42.05542371662581,-122.0013412374098,41.95542371662581,23,39386,2012,2012/09/18 00:00:00.000,2012/09/18 00:00:00.000,297.1402893590853,1694.341812103531
-122.1013412374098,42.05542371662581,-122.0013412374098,41.95542371662581,23,39387,2012,2012/09/18 00:00:00.000,2012/09/18 00:00:00.000,164.81774604937672,453.755642832096
