OBJECTID,YEAR_,left,top,right,bottom,newID
23969,"2000",-121.601341237409798,39.755423716625806,-121.501341237409804,39.655423716625805,"1020"
23969,"2000",-121.501341237409804,39.755423716625806,-121.401341237409810,39.655423716625805,"1021"
23970,"2000",-121.601341237409798,39.555423716625810,-121.501341237409804,39.455423716625809,"1098"
28483,"2000",-122.701341237409807,37.955423716625809,-122.601341237409812,37.855423716625808,"1736"
28484,"2000",-122.601341237409798,38.055423716625810,-122.501341237409804,37.955423716625809,"1692"
28786,"2000",-118.301341237409801,34.255423716625806,-118.201341237409807,34.155423716625805,"3846"
29445,"2000",-119.601341237409798,38.555423716625810,-119.501341237409804,38.455423716625809,"1512"
29446,"2000",-119.901341237409795,38.855423716625808,-119.801341237409801,38.755423716625806,"1389"
29614,"2000",-120.501341237409804,38.055423716625810,-120.401341237409810,37.955423716625809,"1713"
29615,"2000",-120.801341237409801,38.255423716625806,-120.701341237409807,38.155423716625805,"1623"
29694,"2000",-119.301341237409801,36.755423716625806,-119.201341237409807,36.655423716625805,"2362"
29695,"2000",-119.201341237409792,36.755423716625806,-119.101341237409798,36.655423716625805,"2363"
29696,"2000",-119.501341237409804,37.155423716625805,-119.401341237409810,37.055423716625803,"2154"
30285,"2000",-119.501341237409804,36.855423716625808,-119.401341237409810,36.755423716625806,"2307"
30483,"2000",-117.901341237409795,34.455423716625809,-117.801341237409801,34.355423716625808,"3741"
32110,"2000",-119.001341237409804,35.855423716625808,-118.901341237409810,35.755423716625806,"2875"
32111,"2000",-119.301341237409801,34.455423716625809,-119.201341237409807,34.355423716625808,"3727"
32112,"2000",-119.301341237409801,34.455423716625809,-119.201341237409807,34.355423716625808,"3727"
32197,"2000",-123.001341237409804,41.955423716625809,-122.901341237409810,41.855423716625808,"59"
32197,"2000",-122.901341237409810,41.955423716625809,-122.801341237409801,41.855423716625808,"60"
32197,"2000",-123.001341237409804,41.855423716625808,-122.901341237409810,41.755423716625806,"104"
32197,"2000",-122.901341237409810,41.855423716625808,-122.801341237409801,41.755423716625806,"105"
32198,"2000",-120.901341237409795,40.455423716625809,-120.801341237409801,40.355423716625808,"733"
32198,"2000",-120.801341237409801,40.455423716625809,-120.701341237409807,40.355423716625808,"734"
32199,"2000",-122.601341237409798,38.955423716625809,-122.501341237409804,38.855423716625808,"1322"
32199,"2000",-122.501341237409804,38.955423716625809,-122.401341237409810,38.855423716625808,"1323"
32200,"2000",-122.301341237409801,38.655423716625805,-122.201341237409807,38.555423716625803,"1445"
32200,"2000",-122.301341237409801,38.555423716625810,-122.201341237409807,38.455423716625809,"1485"
